data,fascia_eta,no_vax,1_dose,2_dosi_lt_cut,2_dosi_gt_cut,booster,vax,no_vax_frac,1_dose_frac,2_dosi_lt_cut_frac,2_dosi_gt_cut_frac,booster_frac,vax_frac,cut
2022-04-03,12-39,12,0,5,7,27,39,0.2353,0.0000,0.0980,0.1373,0.5294,0.7647,120
2022-04-03,40-59,46,4,10,17,92,123,0.2722,0.0237,0.0592,0.1006,0.5444,0.7278,120
2022-04-03,60-79,140,17,24,53,293,387,0.2657,0.0323,0.0455,0.1006,0.5560,0.7343,120
2022-04-03,80+,44,11,5,16,164,196,0.1833,0.0458,0.0208,0.0667,0.6833,0.8167,120
2022-04-03,totale,242,32,44,93,576,745,0.2452,0.0324,0.0446,0.0942,0.5836,0.7548,120
2022-04-10,05-11,6,0,1,0,0,1,0.8571,0.0000,0.4286,0.1429,0.0000,0.1429,120
2022-04-10,12-39,12,1,5,6,30,42,0.2222,0.0185,0.1111,0.0926,0.5556,0.7778,120
2022-04-10,40-59,43,5,6,18,95,124,0.2575,0.0299,0.1257,0.0359,0.5689,0.7425,120
2022-04-10,60-79,139,15,23,51,327,416,0.2505,0.0270,0.0108,0.0414,0.5892,0.7495,120
2022-04-10,80+,39,10,6,16,175,207,0.1585,0.0407,0.1463,0.0244,0.7114,0.8415,120
2022-04-10,totale,233,31,40,91,627,789,0.2280,0.0303,0.0000,0.0391,0.6135,0.7720,120
2022-04-17,05-11,5,0,2,0,0,2,0.7143,0.0000,0.2857,0.0000,0.0000,0.2857,120
2022-04-17,12-39,12,1,3,4,34,42,0.2222,0.0185,0.0556,0.0741,0.6296,0.7778,120
2022-04-17,40-59,43,5,6,19,95,125,0.2560,0.0298,0.0357,0.1131,0.5655,0.7440,120
2022-04-17,60-79,118,9,21,46,340,416,0.2210,0.0169,0.0393,0.0861,0.6367,0.7790,120
2022-04-17,80+,40,6,6,16,188,216,0.1563,0.0234,0.0234,0.0625,0.7344,0.8438,120
2022-04-17,totale,213,21,36,85,657,799,0.2105,0.0208,0.0356,0.0840,0.6492,0.7895,120
