data,fascia_eta,no_vax,1_dose,2_dosi_lt_cut,2_dosi_gt_cut,booster,vax,no_vax_frac,1_dose_frac,2_dosi_lt_cut_frac,2_dosi_gt_cut_frac,booster_frac,vax_frac,cut
2021-12-26,80+,1763,121,122,2623,509,3375,0.3431,0.0236,0.5105,0.0237,0.0991,0.6569,120
2021-12-26,totale,9564,479,1055,7594,955,10083,0.4868,0.0244,0.3865,0.0537,0.0486,0.5132,120
2022-01-02,12-39,1305,134,653,830,147,1764,0.4252,0.0437,0.2128,0.2704,0.0479,0.5748,120
2022-01-02,40-59,3520,136,340,1369,282,2127,0.6233,0.0241,0.0602,0.2424,0.0499,0.3767,120
2022-01-02,60-79,4547,252,361,4318,638,5569,0.4495,0.0249,0.0357,0.4268,0.0631,0.5505,120
2022-01-02,80+,2115,159,145,2918,999,4221,0.3338,0.0251,0.0229,0.4605,0.1577,0.6662,120
2022-01-02,totale,11487,681,1499,9435,2066,13681,0.4564,0.0271,0.0596,0.3749,0.0821,0.5436,120
2022-01-09,12-39,1760,233,1044,1282,278,2837,0.3829,0.0507,0.2271,0.2789,0.0605,0.6171,120
2022-01-09,40-59,3875,202,523,1848,593,3166,0.5503,0.0287,0.0743,0.2625,0.0842,0.4497,120
2022-01-09,60-79,5533,326,438,5366,1314,7444,0.4264,0.0251,0.0338,0.4135,0.1013,0.5736,120
2022-01-09,80+,2778,228,220,3438,1992,5878,0.3209,0.0263,0.0254,0.3972,0.2301,0.6791,120
2022-01-09,totale,13946,989,2225,11934,4177,19325,0.4192,0.0297,0.0669,0.3587,0.1255,0.5808,120
2022-01-16,12-39,2084,301,1378,1605,414,3698,0.3604,0.0521,0.2383,0.2776,0.0716,0.6396,120
2022-01-16,40-59,3814,247,674,2237,897,4055,0.4847,0.0314,0.0857,0.2843,0.1140,0.5153,120
2022-01-16,60-79,5856,400,564,5940,2116,9020,0.3937,0.0269,0.0379,0.3993,0.1422,0.6063,120
2022-01-16,80+,3295,292,299,3881,3179,7651,0.3010,0.0267,0.0273,0.3546,0.2904,0.6990,120
2022-01-16,totale,15049,1240,2915,13663,6606,24424,0.3812,0.0314,0.0738,0.3461,0.1674,0.6188,120
2022-01-23,12-39,2294,363,1568,1794,524,4249,0.3506,0.0555,0.2396,0.2742,0.0801,0.6494,120
2022-01-23,40-59,3578,287,813,2419,1180,4699,0.4323,0.0347,0.0982,0.2923,0.1426,0.5677,120
2022-01-23,60-79,6003,456,672,6135,2873,10136,0.3720,0.0283,0.0416,0.3801,0.1780,0.6280,120
2022-01-23,80+,3820,331,373,4250,4440,9394,0.2891,0.0250,0.0282,0.3216,0.3360,0.7109,120
2022-01-23,totale,15695,1437,3426,14598,9017,28478,0.3553,0.0325,0.0776,0.3305,0.2041,0.6447,120
2022-01-30,12-39,2154,367,1533,1609,614,4123,0.3432,0.0585,0.2442,0.2563,0.0978,0.6568,120
2022-01-30,40-59,3017,294,826,2229,1391,4740,0.3889,0.0379,0.1065,0.2874,0.1793,0.6111,120
2022-01-30,60-79,5696,493,694,5610,3510,10307,0.3559,0.0308,0.0434,0.3506,0.2193,0.6441,120
2022-01-30,80+,4145,378,427,4212,5560,10577,0.2816,0.0257,0.0290,0.2861,0.3777,0.7184,120
2022-01-30,totale,15012,1532,3480,13660,11075,29747,0.3354,0.0342,0.0777,0.3052,0.2474,0.6646,120
2022-02-06,12-39,1921,313,1315,1328,662,3618,0.3468,0.0565,0.2374,0.2398,0.1195,0.6532,120
2022-02-06,40-59,2431,274,761,1888,1451,4374,0.3572,0.0403,0.1118,0.2774,0.2132,0.6428,120
2022-02-06,60-79,4994,506,698,4601,3950,9755,0.3386,0.0343,0.0473,0.3120,0.2678,0.6614,120
2022-02-06,80+,4188,423,436,3790,6208,10857,0.2784,0.0281,0.0290,0.2519,0.4126,0.7216,120
2022-02-06,totale,13534,1516,3210,11607,12271,28604,0.3212,0.0360,0.0762,0.2755,0.2912,0.6788,120
2022-02-13,12-39,1522,287,1028,1058,649,3022,0.3349,0.0632,0.2262,0.2328,0.1428,0.6651,120
2022-02-13,40-59,1870,240,638,1388,1419,3685,0.3366,0.0432,0.1149,0.2499,0.2554,0.6634,120
2022-02-13,60-79,4025,483,607,3436,4033,8559,0.3199,0.0384,0.0482,0.2730,0.3205,0.6801,120
2022-02-13,80+,3727,412,403,3126,6171,10112,0.2693,0.0298,0.0291,0.2259,0.4459,0.7307,120
2022-02-13,totale,11144,1422,2676,9008,12272,25378,0.3051,0.0389,0.0733,0.2466,0.3360,0.6949,120
2022-02-20,12-39,1197,233,764,784,666,2447,0.3285,0.0639,0.2097,0.2151,0.1828,0.6715,120
2022-02-20,40-59,1387,190,488,954,1355,2987,0.3171,0.0434,0.1116,0.2181,0.3098,0.6829,120
2022-02-20,60-79,3188,417,497,2384,3872,7170,0.3078,0.0403,0.0480,0.2302,0.3738,0.6922,120
2022-02-20,80+,3122,380,356,2321,5915,8972,0.2581,0.0314,0.0294,0.1919,0.4891,0.7419,120
2022-02-20,totale,8894,1220,2105,6443,11808,21576,0.2919,0.0400,0.0691,0.2115,0.3875,0.7081,120
2022-02-27,12-39,922,178,562,578,647,1965,0.3194,0.0617,0.1947,0.2002,0.2241,0.6806,120
2022-02-27,40-59,1056,152,361,647,1242,2402,0.3054,0.0440,0.1044,0.1871,0.3592,0.6946,120
2022-02-27,60-79,2356,347,412,1596,3646,6001,0.2819,0.0415,0.0493,0.1910,0.4363,0.7181,120
2022-02-27,80+,2422,353,296,1603,5305,7557,0.2427,0.0354,0.0297,0.1606,0.5316,0.7573,120
2022-02-27,totale,6756,1030,1631,4424,10840,17925,0.2737,0.0417,0.0661,0.1792,0.4392,0.7263,120
2022-03-06,12-39,705,144,410,424,625,1603,0.3055,0.0624,0.1776,0.1837,0.2708,0.6945,120
2022-03-06,40-59,784,117,289,431,1164,2001,0.2815,0.0420,0.1038,0.1548,0.4180,0.7185,120
2022-03-06,60-79,1690,265,328,1036,3282,4911,0.2560,0.0401,0.0497,0.1569,0.4972,0.7440,120
2022-03-06,80+,1810,285,233,1099,4741,6358,0.2216,0.0349,0.0285,0.1345,0.5804,0.7784,120
2022-03-06,totale,4989,811,1260,2990,9812,14873,0.2512,0.0408,0.0634,0.1505,0.4940,0.7488,120
