data,fascia_eta,no_vax,1_dose,2_dosi_lt_cut,2_dosi_gt_cut,booster,vax,no_vax_frac,1_dose_frac,2_dosi_lt_cut_frac,2_dosi_gt_cut_frac,booster_frac,vax_frac,cut
2021-12-19,40-59,2553007,493603,3396844,10069702,1918446,15878595,0.1385,0.0268,0.1843,0.5463,0.1041,0.8615,120
2021-12-19,60-79,1136914,224964,1066673,8153620,2989837,12435094,0.0838,0.0166,0.0786,0.6008,0.2203,0.9162,120
2021-12-19,80+,204451,82201,116336,1638547,2528535,4365619,0.0447,0.0180,0.0255,0.3585,0.5533,0.9553,120
2021-12-19,totale,6660263,1578764,11648617,26019483,8102818,47349682,0.1233,0.0292,0.2157,0.4818,0.1500,0.8767,120
2021-12-26,12-39,2618486,848338,6308441,6622360,1038313,14817452,0.1502,0.0487,0.3798,0.3618,0.0596,0.8498,120
2021-12-26,40-59,2481703,516659,3067881,9405369,2956668,15946577,0.1347,0.0280,0.5104,0.1665,0.1604,0.8653,120
2021-12-26,60-79,1110610,230843,894643,7147269,4188643,12461398,0.0818,0.0170,0.5266,0.0659,0.3086,0.9182,120
2021-12-26,80+,203668,82461,110794,1387865,2788931,4370051,0.0445,0.0180,0.3034,0.0242,0.6098,0.9555,120
2021-12-26,totale,6414467,1678301,10381759,24562863,10972555,47595478,0.1188,0.0311,0.4548,0.1922,0.2032,0.8812,120
2022-01-02,12-39,2498210,877882,5978446,6620342,1461058,14937728,0.1433,0.0503,0.3429,0.3797,0.0838,0.8567,120
2022-01-02,40-59,2417183,526749,2903710,8413304,4167334,16011097,0.1312,0.0286,0.1576,0.4565,0.2261,0.8688,120
2022-01-02,60-79,1080476,233288,819651,5873121,5564879,12490939,0.0796,0.0172,0.0604,0.4328,0.4100,0.9204,120
2022-01-02,80+,198565,82922,108832,1141910,3042083,4375747,0.0434,0.0181,0.0238,0.2496,0.6650,0.9566,120
2022-01-02,totale,6194434,1720841,9810639,22048677,14235354,47815511,0.1147,0.0319,0.1816,0.4082,0.2636,0.8853,120
2022-01-09,12-39,2419609,855168,5493446,6730170,1926639,15005423,0.1389,0.0491,0.3153,0.3862,0.1106,0.8611,120
2022-01-09,40-59,2400262,511298,2679147,7573850,5263723,16028018,0.1302,0.0277,0.1454,0.4110,0.2856,0.8698,120
2022-01-09,60-79,1079474,227340,746313,4832579,6683437,12489669,0.0796,0.0168,0.0550,0.3561,0.4925,0.9204,120
2022-01-09,80+,214083,82469,104380,970384,3216174,4373407,0.0467,0.0180,0.0228,0.2115,0.7011,0.9533,120
2022-01-09,totale,6113428,1676275,9023286,20106983,17089973,47896517,0.1132,0.0310,0.1671,0.3723,0.3164,0.8868,120
2022-01-16,12-39,2335819,817551,4807413,6951501,2512748,15089213,0.1340,0.0469,0.2759,0.3989,0.1442,0.8660,120
2022-01-16,40-59,2342056,493408,2415563,6896399,6279161,16084531,0.1271,0.0268,0.1311,0.3743,0.3408,0.8729,120
2022-01-16,60-79,1043506,223286,677523,4076781,7548047,12525637,0.0769,0.0165,0.0499,0.3004,0.5563,0.9231,120
2022-01-16,80+,204562,82053,98242,876928,3327398,4384621,0.0446,0.0179,0.0214,0.1911,0.7251,0.9554,120
2022-01-16,totale,5925943,1616298,7998741,18801609,19667354,48084002,0.1097,0.0299,0.1481,0.3481,0.3641,0.8903,120
2022-01-23,12-39,2219338,790453,4135263,6940175,3348303,15214194,0.1273,0.0453,0.2372,0.3981,0.1921,0.8727,120
2022-01-23,40-59,2248822,480236,2168968,6129646,7398915,16177765,0.1220,0.0261,0.1177,0.3327,0.4015,0.8780,120
2022-01-23,60-79,954620,222091,627232,3421888,8333312,12604523,0.0704,0.0164,0.0463,0.2524,0.6146,0.9296,120
